StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q5,Q5_10_TEXT,Q21,Q21_10_TEXT,Q6,Q6_5_TEXT,Q22,Q2,Q3,Q4,Q7,Q8,Q19,Q20,Q18,Q9,Q10,Q11,Q12,Q12_3_TEXT,Q13,Q13_3_TEXT,Q23,Q23_3_TEXT,RecipientEmail,RecipientFirstName,RecipientLastName,Q12_3_TEXT - Parent Topics,Q12_3_TEXT - Sentiment Polarity,Q12_3_TEXT - Sentiment Score,Q12_3_TEXT - Sentiment,Q12_3_TEXT - Topic Sentiment Label,Q12_3_TEXT - Topic Sentiment Score,Q12_3_TEXT - Topics
2020-04-18 15:24:16,2020-04-18 15:25:01,IP Address,108.35.26.88,100,45,True,2020-04-18 15:25:01,R_3nHMu51MHMFMnOg,,,,,40.9561004638671875,-73.96250152587890625,anonymous,EN,Undergraduate student,,,,,Social Sciences,,Social Sciences,Liberal,Occasionally,To an extremely large extent,To an extremely large extent,To a moderate extent,,To a large extent,To a large extent,To no or a very minimal extent,To a small extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:23:28,2020-04-18 15:25:07,IP Address,76.99.248.66,100,99,True,2020-04-18 15:25:07,R_Zqw6bao6m2mcnAt,,,,,39.952606201171875,-75.293701171875,anonymous,EN,Undergraduate student,,,,,STEM,,I do not plan to pursue a double major,Conservative,Never,To a small extent,To no or a very minimal extent,To a small extent,,To a small extent,To a moderate extent,To a large extent,To a moderate extent,Yes,The Republican nominee,,,,,,,,,,,,,,,
2020-04-18 15:24:02,2020-04-18 15:25:13,IP Address,107.77.209.101,100,71,True,2020-04-18 15:25:13,R_3PAGUhvU78Vfs0N,,,,,41.848297119140625,-87.651702880859375,anonymous,EN,Undergraduate student,,,,,Humanities and Arts,,STEM,Conservative,Never,To no or a very minimal extent,To no or a very minimal extent,To no or a very minimal extent,,To a large extent,To no or a very minimal extent,To an extremely large extent,To no or a very minimal extent,Yes,,,,,,,,,,,,,,,,
2020-04-18 15:24:05,2020-04-18 15:25:15,IP Address,108.69.227.22,100,69,True,2020-04-18 15:25:15,R_3EmNdx8eHip57Xi,,,,,38.2655029296875,-85.562103271484375,anonymous,EN,Undergraduate student,,,,,Humanities and Arts,,I do not plan to pursue a double major,Very liberal,Occasionally,To a large extent,To a large extent,To a moderate extent,,To a moderate extent,To a moderate extent,To no or a very minimal extent,To a small extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:24:15,2020-04-18 15:25:24,IP Address,166.216.159.155,100,69,True,2020-04-18 15:25:24,R_3PsCzKILFVmPRUF,,,,,42.4651947021484375,-83.37129974365234375,anonymous,EN,Undergraduate student,,,,,Humanities and Arts,,I do not plan to pursue a double major,Moderate/Centrist,Never,To a small extent,To no or a very minimal extent,To a moderate extent,,To a moderate extent,To a small extent,To a small extent,To no or a very minimal extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:24:19,2020-04-18 15:25:27,IP Address,24.9.10.92,100,68,True,2020-04-18 15:25:27,R_3MKkVudiwtt7Aay,,,,,40.5377044677734375,-105.05460357666015625,anonymous,EN,Undergraduate student,,,,,STEM,,Humanities and Arts,Liberal,Never,To a large extent,To no or a very minimal extent,To a moderate extent,,To a moderate extent,To a small extent,To a small extent,To a moderate extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:23:28,2020-04-18 15:25:32,IP Address,99.3.46.230,100,124,True,2020-04-18 15:25:32,R_vjEY3Xd7KU6rUgF,,,,,36.0950927734375,-94.17530059814453125,anonymous,EN,Undergraduate student,,,,,Social Sciences,,Humanities and Arts,Liberal,Occasionally,To a moderate extent,To an extremely large extent,To a moderate extent,,To a moderate extent,To a moderate extent,To a small extent,To a moderate extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:24:31,2020-04-18 15:25:52,IP Address,173.72.104.85,100,81,True,2020-04-18 15:25:52,R_1ou0ui3JShg3HRv,,,,,40.369903564453125,-74.63809967041015625,anonymous,EN,Undergraduate student,,,,,Social Sciences,,Humanities and Arts,Liberal,Occasionally,To a moderate extent,To a large extent,To a moderate extent,,To a large extent,To a small extent,To a moderate extent,To a small extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:24:17,2020-04-18 15:25:53,IP Address,68.168.170.246,100,96,True,2020-04-18 15:25:54,R_3jd0EOCA2dGYRWi,,,,,44.9427032470703125,-93.28710174560546875,anonymous,EN,Undergraduate student,,,,,Social Sciences,,I do not plan to pursue a double major,Right of center,Never,To a small extent,To no or a very minimal extent,To a large extent,,To an extremely large extent,To no or a very minimal extent,To an extremely large extent,To no or a very minimal extent,Yes,Undecided,,,,,,,,,,,,,,,
2020-04-18 15:24:28,2020-04-18 15:25:57,IP Address,98.233.118.213,100,89,True,2020-04-18 15:25:58,R_2qrsonR52sRVuqN,,,,,39.42340087890625,-76.7761993408203125,anonymous,EN,Undergraduate student,,,,,Social Sciences,,Humanities and Arts,Liberal,Occasionally,To a large extent,To a moderate extent,To a moderate extent,,To a moderate extent,To a large extent,To a moderate extent,To a moderate extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:24:42,2020-04-18 15:26:04,IP Address,65.175.176.145,100,81,True,2020-04-18 15:26:04,R_2XdGTqmKwfEXRfq,,,,,43.451202392578125,-71.4889984130859375,anonymous,EN,Undergraduate student,,,,,Social Sciences,,Social Sciences,Liberal,Never,To a large extent,To a moderate extent,To no or a very minimal extent,,To a large extent,To a moderate extent,To a moderate extent,To no or a very minimal extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:24:44,2020-04-18 15:26:06,IP Address,24.250.48.51,100,82,True,2020-04-18 15:26:06,R_1ClPveMvLD8yAlA,,,,,41.5041046142578125,-72.9167022705078125,anonymous,EN,Undergraduate student,,,,,STEM,,I do not plan to pursue a double major,Liberal,Occasionally,To a moderate extent,To no or a very minimal extent,To a moderate extent,,To a small extent,To a moderate extent,To a moderate extent,To a moderate extent,Yes,Write in,,,,,,,,,,,,,,,
2020-04-18 15:24:40,2020-04-18 15:26:08,IP Address,24.147.7.36,100,87,True,2020-04-18 15:26:08,R_1Cs8fEITBBIoRMD,,,,,43.1887969970703125,-70.88680267333984375,anonymous,EN,Undergraduate student,,,,,STEM,,I do not plan to pursue a double major,Liberal,Never,To no or a very minimal extent,To no or a very minimal extent,To a moderate extent,,To a large extent,To a small extent,To a moderate extent,To a small extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:23:35,2020-04-18 15:26:08,IP Address,76.119.146.152,100,153,True,2020-04-18 15:26:08,R_1jdJBRT3FTJXx50,,,,,41.272705078125,-70.09709930419921875,anonymous,EN,Undergraduate student,,,,,STEM,,I do not plan to pursue a double major,Liberal,Never,To a small extent,To a small extent,To a small extent,,To a moderate extent,To a small extent,To a moderate extent,To a small extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:24:09,2020-04-18 15:26:10,IP Address,99.182.240.188,100,121,True,2020-04-18 15:26:10,R_3OobtTYCLZ717ZM,,,,,43.3032989501953125,-88.00170135498046875,anonymous,EN,Undergraduate student,,,,,STEM,,STEM,Liberal,Occasionally,To a large extent,To no or a very minimal extent,To a large extent,,To a large extent,To a moderate extent,To a small extent,To a small extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:24:58,2020-04-18 15:26:10,IP Address,68.14.121.15,100,71,True,2020-04-18 15:26:11,R_1IcKZEi5rTR5gnD,,,,,41.604705810546875,-72.8813018798828125,anonymous,EN,Undergraduate student,,,,,STEM,,Foreign Language,Left of center,Never,To a small extent,To no or a very minimal extent,To no or a very minimal extent,,To a moderate extent,To a moderate extent,To no or a very minimal extent,To no or a very minimal extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:23:43,2020-04-18 15:26:15,IP Address,97.90.2.77,100,151,True,2020-04-18 15:26:15,R_d1rjRvyEO2yS4b7,,,,,34.2187957763671875,-118.199798583984375,anonymous,EN,Undergraduate student,,,,,Social Sciences,,I do not plan to pursue a double major,Right of center,Never,To a moderate extent,To a moderate extent,To a small extent,,To a moderate extent,To a small extent,To no or a very minimal extent,To no or a very minimal extent,Yes,Undecided,,,,,,,,,,,,,,,
2020-04-18 15:24:53,2020-04-18 15:26:15,IP Address,100.15.183.65,100,82,True,2020-04-18 15:26:16,R_3Kpjnrcz1f325K7,,,,,38.937896728515625,-77.08589935302734375,anonymous,EN,Undergraduate student,,,,,STEM,,I do not plan to pursue a double major,Left of center,Never,To a small extent,To no or a very minimal extent,To a small extent,,To a small extent,To a moderate extent,To a large extent,To a moderate extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:25:25,2020-04-18 15:26:18,IP Address,173.52.109.128,100,52,True,2020-04-18 15:26:18,R_1d6xrJCiapcyJQK,,,,,40.7292022705078125,-73.75140380859375,anonymous,EN,Undergraduate student,,,,,Social Sciences,,Humanities and Arts,Left of center,Occasionally,To a large extent,To a large extent,To an extremely large extent,,To a moderate extent,To a small extent,To a large extent,To a small extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:24:37,2020-04-18 15:26:20,IP Address,174.234.130.77,100,102,True,2020-04-18 15:26:20,R_3lRCJYgqCbPU90M,,,,,38.6486968994140625,-90.3296966552734375,anonymous,EN,Undergraduate student,,,,,STEM,,Other,Right of center,Never,To a small extent,To a small extent,To a small extent,,To a small extent,To a small extent,To an extremely large extent,To no or a very minimal extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:23:15,2020-04-18 15:26:20,IP Address,71.112.187.135,100,184,True,2020-04-18 15:26:20,R_3HuGvlbyc8rnCFc,,,,,40.503692626953125,-80.06829833984375,anonymous,EN,Undergraduate student,,,,,STEM,,STEM,Moderate/Centrist,Never,To a moderate extent,To no or a very minimal extent,To a moderate extent,,To a moderate extent,To a moderate extent,To a small extent,To a small extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:24:45,2020-04-18 15:26:22,IP Address,96.250.238.91,100,96,True,2020-04-18 15:26:22,R_2U9rS97vzRNTZw7,,,,,41.02130126953125,-73.6781005859375,anonymous,EN,Undergraduate student,,,,,Humanities and Arts,,,Liberal,Never,To a large extent,To a moderate extent,To a moderate extent,,To a large extent,To a small extent,To a large extent,To a moderate extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:25:08,2020-04-18 15:26:29,IP Address,50.37.121.122,100,81,True,2020-04-18 15:26:30,R_1FlckxR0lgVfJaP,,,,,46.73309326171875,-116.989898681640625,anonymous,EN,Undergraduate student,,,,,Social Sciences,,Social Sciences,Very liberal,Never,To a large extent,To a large extent,To a moderate extent,,To a small extent,To a large extent,To no or a very minimal extent,To a moderate extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:24:59,2020-04-18 15:26:34,IP Address,24.190.116.29,100,94,True,2020-04-18 15:26:34,R_3rNy2MzUVc2n9ZB,,,,,41.341400146484375,-73.59290313720703125,anonymous,EN,Undergraduate student,,,,,STEM,,I do not plan to pursue a double major,Left of center,Occasionally,To a small extent,To no or a very minimal extent,To no or a very minimal extent,,To a moderate extent,To a small extent,To a large extent,To a small extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:24:51,2020-04-18 15:26:35,IP Address,97.113.50.189,100,104,True,2020-04-18 15:26:35,R_1N8rJX2JhN7oOy4,,,,,47.583404541015625,-122.2978973388671875,anonymous,EN,Undergraduate student,,,,,STEM,,I do not plan to pursue a double major,Very liberal,Occasionally,To an extremely large extent,To no or a very minimal extent,To a moderate extent,,To no or a very minimal extent,To a moderate extent,To no or a very minimal extent,To a moderate extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:24:33,2020-04-18 15:26:39,IP Address,32.210.54.110,100,125,True,2020-04-18 15:26:39,R_3h55CRnPs51srP6,,,,,41.409698486328125,-72.91100311279296875,anonymous,EN,Undergraduate student,,,,,Social Sciences,,Social Sciences,Left of center,Occasionally,To an extremely large extent,To no or a very minimal extent,To a moderate extent,,To a moderate extent,To a small extent,To a moderate extent,To a moderate extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:25:32,2020-04-18 15:26:40,IP Address,69.125.208.73,100,67,True,2020-04-18 15:26:40,R_3kGsOOul5IWraWA,,,,,40.9040069580078125,-72.41359710693359375,anonymous,EN,Undergraduate student,,,,,Humanities and Arts,,Humanities and Arts,Very liberal,Occasionally,To a large extent,To a large extent,To a moderate extent,,To a moderate extent,To a moderate extent,To a small extent,To a moderate extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:25:24,2020-04-18 15:26:41,IP Address,47.232.150.46,100,76,True,2020-04-18 15:26:41,R_VOtHJGT6TPapPCV,,,,,34.0110015869140625,-118.114501953125,anonymous,EN,Undergraduate student,,,,,Social Sciences,,,Conservative,Never,To an extremely large extent,To an extremely large extent,To no or a very minimal extent,,To a moderate extent,To no or a very minimal extent,To a large extent,To a small extent,Yes,Write in,,,,,,,,,,,,,,,
2020-04-18 15:25:18,2020-04-18 15:26:43,IP Address,108.183.80.221,100,85,True,2020-04-18 15:26:43,R_3KrRhvaWFnTb6jC,,,,,42.896697998046875,-78.8845977783203125,anonymous,EN,Undergraduate student,,,,,Humanities and Arts,,,Very liberal,Occasionally,To a moderate extent,To a large extent,To a moderate extent,,To a small extent,To a moderate extent,To a moderate extent,To a small extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:25:28,2020-04-18 15:26:49,IP Address,73.234.116.80,100,80,True,2020-04-18 15:26:49,R_24DaWKrJtaTxzmR,,,,,41.8314971923828125,-72.7198028564453125,anonymous,EN,Undergraduate student,,,,,Social Sciences,,STEM,Very liberal,Very Frequently,To a large extent,To a moderate extent,To a large extent,,To a moderate extent,To a moderate extent,To no or a very minimal extent,To a moderate extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:25:36,2020-04-18 15:26:50,IP Address,128.36.7.189,100,74,True,2020-04-18 15:26:51,R_2fprsuRTK2pwbO2,,,,,41.318603515625,-72.93019866943359375,anonymous,EN,Undergraduate student,,,,,STEM,,STEM,Liberal,Occasionally,To a small extent,To a moderate extent,To a large extent,,To a moderate extent,To a small extent,To a small extent,To a small extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:25:53,2020-04-18 15:26:54,IP Address,108.26.212.8,100,60,True,2020-04-18 15:26:54,R_3Pu9MRf8BIwHCsZ,,,,,42.35400390625,-71.18499755859375,anonymous,EN,Undergraduate student,,,,,STEM,,I do not plan to pursue a double major,Liberal,Occasionally,To a small extent,To a large extent,To a small extent,,To a moderate extent,To a small extent,To a small extent,To a small extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:25:05,2020-04-18 15:27:02,IP Address,66.30.173.77,100,116,True,2020-04-18 15:27:02,R_2B52B4xuW9zXVph,,,,,42.456695556640625,-71.37470245361328125,anonymous,EN,Undergraduate student,,,,,Social Sciences,,I do not plan to pursue a double major,Moderate/Centrist,Never,To a small extent,To no or a very minimal extent,To a large extent,,To a small extent,To a large extent,To a moderate extent,To a small extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:25:56,2020-04-18 15:27:14,IP Address,73.182.131.227,100,77,True,2020-04-18 15:27:14,R_2uQyykkE7a6bvI7,,,,,41.318603515625,-72.93019866943359375,anonymous,EN,Undergraduate student,,,,,Humanities and Arts,,I do not plan to pursue a double major,Liberal,Occasionally,To a large extent,To no or a very minimal extent,To a moderate extent,,To a moderate extent,To a small extent,To no or a very minimal extent,To no or a very minimal extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:25:19,2020-04-18 15:27:17,IP Address,68.132.211.91,100,118,True,2020-04-18 15:27:17,R_ZesNVLu6nRRxQKl,,,,,40.9163055419921875,-73.78980255126953125,anonymous,EN,Undergraduate student,,,,,STEM,,Humanities and Arts,Left of center,Occasionally,To a moderate extent,To no or a very minimal extent,To a moderate extent,,To a large extent,To a moderate extent,To a large extent,To a small extent,Yes,Write in,,,,,,,,,,,,,,,
2020-04-18 15:25:40,2020-04-18 15:27:18,IP Address,69.253.47.69,100,98,True,2020-04-18 15:27:18,R_3j6F3HV8C57Y9P7,,,,,40.013702392578125,-75.22879791259765625,anonymous,EN,Undergraduate student,,,,,Humanities and Arts,,I do not plan to pursue a double major,Conservative,Never,To a large extent,To a moderate extent,To no or a very minimal extent,,To a moderate extent,To no or a very minimal extent,To an extremely large extent,To no or a very minimal extent,Yes,Undecided,,,,,,,,,,,,,,,
2020-04-18 15:25:17,2020-04-18 15:27:18,IP Address,75.73.147.57,100,121,True,2020-04-18 15:27:19,R_3p0k5AABBIU34hv,,,,,44.9691009521484375,-93.2843017578125,anonymous,EN,Undergraduate student,,,,,STEM,,I do not plan to pursue a double major,Very liberal,Never,To a small extent,To a large extent,To a small extent,,To a small extent,To a moderate extent,To a small extent,To a small extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:25:26,2020-04-18 15:27:20,IP Address,98.231.178.16,100,113,True,2020-04-18 15:27:20,R_3g578bSoASQ9Gpw,,,,,38.917205810546875,-77.07089996337890625,anonymous,EN,Undergraduate student,,,,,Humanities and Arts,,Social Sciences,Conservative,Occasionally,To a moderate extent,To no or a very minimal extent,To a small extent,,To a large extent,To no or a very minimal extent,To a moderate extent,To a small extent,Yes,Undecided,,,,,,,,,,,,,,,
2020-04-18 15:26:25,2020-04-18 15:27:20,IP Address,45.51.115.139,100,54,True,2020-04-18 15:27:20,R_2tf03vfnFgm3Ihn,,,,,34.0626068115234375,-118.39459991455078125,anonymous,EN,Undergraduate student,,,,,Social Sciences,,STEM,Liberal,Never,To a moderate extent,To no or a very minimal extent,To a small extent,,To a small extent,To a moderate extent,To a small extent,To a moderate extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:24:45,2020-04-18 15:27:27,IP Address,73.244.233.80,100,162,True,2020-04-18 15:27:27,R_TvKo0o0BAL32xtD,,,,,26.1165924072265625,-80.3191986083984375,anonymous,EN,Undergraduate student,,,,,STEM,,Humanities and Arts,Very conservative,Never,To a large extent,To no or a very minimal extent,To a small extent,,To a small extent,To a moderate extent,To an extremely large extent,To a small extent,Yes,The Republican nominee,,,,,,,,,,,,,,,
2020-04-18 15:25:36,2020-04-18 15:27:34,IP Address,128.36.7.63,100,118,True,2020-04-18 15:27:35,R_T25xbZjkUu713fr,,,,,41.318603515625,-72.93019866943359375,anonymous,EN,Undergraduate student,,,,,Foreign Language,,,Very liberal,Never,To a small extent,To a small extent,To a moderate extent,,To no or a very minimal extent,To a moderate extent,To a small extent,To no or a very minimal extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
2020-04-18 15:26:24,2020-04-18 15:27:35,IP Address,99.203.92.148,100,70,True,2020-04-18 15:27:35,R_QcBR1IHbj5Yi4HD,,,,,39.10009765625,-94.5782012939453125,anonymous,EN,Undergraduate student,,,,,STEM,,I do not plan to pursue a double major,Liberal,Occasionally,To a moderate extent,To a small extent,To a moderate extent,,To a moderate extent,To a moderate extent,To no or a very minimal extent,To no or a very minimal extent,Yes,The Democratic nominee,,,,,,,,,,,,,,,
