Year,Institution,Campus,Institution Size,Category,Location,Subcategory,Number
2005,Yale University,Main Campus,11483,Arrests,Noncampus,Liquor law violations,0
2006,Yale University,Main Campus,11415,Arrests,Noncampus,Liquor law violations,0
2007,Yale University,Main Campus,11454,Arrests,Noncampus,Liquor law violations,3
2008,Yale University,Main Campus,10192,Arrests,Noncampus,Liquor law violations,0
2009,Yale University,Main Campus,11593,Arrests,Noncampus,Liquor law violations,12
2010,Yale University,Main Campus,11701,Arrests,Noncampus,Liquor law violations,0
2011,Yale University,Main Campus,11875,Arrests,Noncampus,Liquor law violations,4
2012,Yale University,Main Campus,11906,Arrests,Noncampus,Liquor law violations,4
2013,Yale University,Main Campus,12109,Arrests,Noncampus,Liquor law violations,1
2014,Yale University,Main Campus,12336,Arrests,Noncampus,Liquor law violations,0
2015,Yale University,Main Campus,12385,Arrests,Noncampus,Liquor law violations,1
2016,Yale University,Main Campus,12458,Arrests,Noncampus,Liquor law violations,0
2017,Yale University,Main Campus,12974,Arrests,Noncampus,Liquor law violations,0
2001,Yale University,Main Campus,11136,Arrests,On campus,Illegal weapons possession,1
2002,Yale University,Main Campus,11378,Arrests,On campus,Illegal weapons possession,1
2003,Yale University,Main Campus,11471,Arrests,On campus,Illegal weapons possession,0
2004,Yale University,Main Campus,11441,Arrests,On campus,Illegal weapons possession,0
2005,Yale University,Main Campus,11483,Arrests,On campus,Illegal weapons possession,0
2006,Yale University,Main Campus,11415,Arrests,On campus,Illegal weapons possession,2
2007,Yale University,Main Campus,11454,Arrests,On campus,Illegal weapons possession,1
2008,Yale University,Main Campus,10192,Arrests,On campus,Illegal weapons possession,1
2009,Yale University,Main Campus,11593,Arrests,On campus,Illegal weapons possession,0
2010,Yale University,Main Campus,11701,Arrests,On campus,Illegal weapons possession,1
2011,Yale University,Main Campus,11875,Arrests,On campus,Illegal weapons possession,0
2012,Yale University,Main Campus,11906,Arrests,On campus,Illegal weapons possession,1
2013,Yale University,Main Campus,12109,Arrests,On campus,Illegal weapons possession,1
2014,Yale University,Main Campus,12336,Arrests,On campus,Illegal weapons possession,0
2015,Yale University,Main Campus,12385,Arrests,On campus,Illegal weapons possession,0
2016,Yale University,Main Campus,12458,Arrests,On campus,Illegal weapons possession,4
2017,Yale University,Main Campus,12974,Arrests,On campus,Illegal weapons possession,0
2001,Yale University,Main Campus,11136,Arrests,On campus,Drug law violations,3
2002,Yale University,Main Campus,11378,Arrests,On campus,Drug law violations,5
2003,Yale University,Main Campus,11471,Arrests,On campus,Drug law violations,3
2004,Yale University,Main Campus,11441,Arrests,On campus,Drug law violations,2
2005,Yale University,Main Campus,11483,Arrests,On campus,Drug law violations,4
2006,Yale University,Main Campus,11415,Arrests,On campus,Drug law violations,3
2007,Yale University,Main Campus,11454,Arrests,On campus,Drug law violations,7
2008,Yale University,Main Campus,10192,Arrests,On campus,Drug law violations,6
2009,Yale University,Main Campus,11593,Arrests,On campus,Drug law violations,14
2010,Yale University,Main Campus,11701,Arrests,On campus,Drug law violations,14
2011,Yale University,Main Campus,11875,Arrests,On campus,Drug law violations,11
2012,Yale University,Main Campus,11906,Arrests,On campus,Drug law violations,52
2013,Yale University,Main Campus,12109,Arrests,On campus,Drug law violations,38
2014,Yale University,Main Campus,12336,Arrests,On campus,Drug law violations,27
2015,Yale University,Main Campus,12385,Arrests,On campus,Drug law violations,13
2016,Yale University,Main Campus,12458,Arrests,On campus,Drug law violations,9
2017,Yale University,Main Campus,12974,Arrests,On campus,Drug law violations,10
2001,Yale University,Main Campus,11136,Arrests,On campus,Liquor law violations,2
2002,Yale University,Main Campus,11378,Arrests,On campus,Liquor law violations,1
2003,Yale University,Main Campus,11471,Arrests,On campus,Liquor law violations,0
2004,Yale University,Main Campus,11441,Arrests,On campus,Liquor law violations,0
2005,Yale University,Main Campus,11483,Arrests,On campus,Liquor law violations,0
2006,Yale University,Main Campus,11415,Arrests,On campus,Liquor law violations,3
2007,Yale University,Main Campus,11454,Arrests,On campus,Liquor law violations,33
2008,Yale University,Main Campus,10192,Arrests,On campus,Liquor law violations,29
2009,Yale University,Main Campus,11593,Arrests,On campus,Liquor law violations,10
2010,Yale University,Main Campus,11701,Arrests,On campus,Liquor law violations,34
2011,Yale University,Main Campus,11875,Arrests,On campus,Liquor law violations,37
2012,Yale University,Main Campus,11906,Arrests,On campus,Liquor law violations,27
2013,Yale University,Main Campus,12109,Arrests,On campus,Liquor law violations,20
2014,Yale University,Main Campus,12336,Arrests,On campus,Liquor law violations,6
2015,Yale University,Main Campus,12385,Arrests,On campus,Liquor law violations,3
2016,Yale University,Main Campus,12458,Arrests,On campus,Liquor law violations,2
2017,Yale University,Main Campus,12974,Arrests,On campus,Liquor law violations,0
2001,Yale University,Main Campus,11136,Arrests,On campus student housing facilities,Illegal weapons possession,0
2002,Yale University,Main Campus,11378,Arrests,On campus student housing facilities,Illegal weapons possession,1
2003,Yale University,Main Campus,11471,Arrests,On campus student housing facilities,Illegal weapons possession,0
2004,Yale University,Main Campus,11441,Arrests,On campus student housing facilities,Illegal weapons possession,0
2005,Yale University,Main Campus,11483,Arrests,On campus student housing facilities,Illegal weapons possession,0
2006,Yale University,Main Campus,11415,Arrests,On campus student housing facilities,Illegal weapons possession,0
2007,Yale University,Main Campus,11454,Arrests,On campus student housing facilities,Illegal weapons possession,0
2008,Yale University,Main Campus,10192,Arrests,On campus student housing facilities,Illegal weapons possession,0
2009,Yale University,Main Campus,11593,Arrests,On campus student housing facilities,Illegal weapons possession,0
2010,Yale University,Main Campus,11701,Arrests,On campus student housing facilities,Illegal weapons possession,0
2011,Yale University,Main Campus,11875,Arrests,On campus student housing facilities,Illegal weapons possession,0
2012,Yale University,Main Campus,11906,Arrests,On campus student housing facilities,Illegal weapons possession,0
2013,Yale University,Main Campus,12109,Arrests,On campus student housing facilities,Illegal weapons possession,0
2014,Yale University,Main Campus,12336,Arrests,On campus student housing facilities,Illegal weapons possession,0
2015,Yale University,Main Campus,12385,Arrests,On campus student housing facilities,Illegal weapons possession,0
2016,Yale University,Main Campus,12458,Arrests,On campus student housing facilities,Illegal weapons possession,1
2017,Yale University,Main Campus,12974,Arrests,On campus student housing facilities,Illegal weapons possession,0
2001,Yale University,Main Campus,11136,Arrests,On campus student housing facilities,Drug law violations,0
2002,Yale University,Main Campus,11378,Arrests,On campus student housing facilities,Drug law violations,5
2003,Yale University,Main Campus,11471,Arrests,On campus student housing facilities,Drug law violations,1
2004,Yale University,Main Campus,11441,Arrests,On campus student housing facilities,Drug law violations,0
2005,Yale University,Main Campus,11483,Arrests,On campus student housing facilities,Drug law violations,3
2006,Yale University,Main Campus,11415,Arrests,On campus student housing facilities,Drug law violations,0
2007,Yale University,Main Campus,11454,Arrests,On campus student housing facilities,Drug law violations,0
2008,Yale University,Main Campus,10192,Arrests,On campus student housing facilities,Drug law violations,1
2009,Yale University,Main Campus,11593,Arrests,On campus student housing facilities,Drug law violations,6
2010,Yale University,Main Campus,11701,Arrests,On campus student housing facilities,Drug law violations,3
2011,Yale University,Main Campus,11875,Arrests,On campus student housing facilities,Drug law violations,2
2012,Yale University,Main Campus,11906,Arrests,On campus student housing facilities,Drug law violations,2
2013,Yale University,Main Campus,12109,Arrests,On campus student housing facilities,Drug law violations,6
2014,Yale University,Main Campus,12336,Arrests,On campus student housing facilities,Drug law violations,5
2015,Yale University,Main Campus,12385,Arrests,On campus student housing facilities,Drug law violations,1
2016,Yale University,Main Campus,12458,Arrests,On campus student housing facilities,Drug law violations,1
2017,Yale University,Main Campus,12974,Arrests,On campus student housing facilities,Drug law violations,1
2001,Yale University,Main Campus,11136,Arrests,On campus student housing facilities,Liquor law violations,0
2002,Yale University,Main Campus,11378,Arrests,On campus student housing facilities,Liquor law violations,1
2003,Yale University,Main Campus,11471,Arrests,On campus student housing facilities,Liquor law violations,0
2004,Yale University,Main Campus,11441,Arrests,On campus student housing facilities,Liquor law violations,0
2005,Yale University,Main Campus,11483,Arrests,On campus student housing facilities,Liquor law violations,0
2006,Yale University,Main Campus,11415,Arrests,On campus student housing facilities,Liquor law violations,0
2007,Yale University,Main Campus,11454,Arrests,On campus student housing facilities,Liquor law violations,9
2008,Yale University,Main Campus,10192,Arrests,On campus student housing facilities,Liquor law violations,12
2009,Yale University,Main Campus,11593,Arrests,On campus student housing facilities,Liquor law violations,4
2010,Yale University,Main Campus,11701,Arrests,On campus student housing facilities,Liquor law violations,15
2011,Yale University,Main Campus,11875,Arrests,On campus student housing facilities,Liquor law violations,2
2012,Yale University,Main Campus,11906,Arrests,On campus student housing facilities,Liquor law violations,8
2013,Yale University,Main Campus,12109,Arrests,On campus student housing facilities,Liquor law violations,12
2014,Yale University,Main Campus,12336,Arrests,On campus student housing facilities,Liquor law violations,0
2015,Yale University,Main Campus,12385,Arrests,On campus student housing facilities,Liquor law violations,3
2016,Yale University,Main Campus,12458,Arrests,On campus student housing facilities,Liquor law violations,0
2017,Yale University,Main Campus,12974,Arrests,On campus student housing facilities,Liquor law violations,0
2001,Yale University,Main Campus,11136,Arrests,Public property,Illegal weapons possession,1
2002,Yale University,Main Campus,11378,Arrests,Public property,Illegal weapons possession,2
2003,Yale University,Main Campus,11471,Arrests,Public property,Illegal weapons possession,1
2004,Yale University,Main Campus,11441,Arrests,Public property,Illegal weapons possession,1
2005,Yale University,Main Campus,11483,Arrests,Public property,Illegal weapons possession,2
2006,Yale University,Main Campus,11415,Arrests,Public property,Illegal weapons possession,2
2007,Yale University,Main Campus,11454,Arrests,Public property,Illegal weapons possession,0
2008,Yale University,Main Campus,10192,Arrests,Public property,Illegal weapons possession,8
2009,Yale University,Main Campus,11593,Arrests,Public property,Illegal weapons possession,2
2010,Yale University,Main Campus,11701,Arrests,Public property,Illegal weapons possession,1
2011,Yale University,Main Campus,11875,Arrests,Public property,Illegal weapons possession,8
2012,Yale University,Main Campus,11906,Arrests,Public property,Illegal weapons possession,7
2013,Yale University,Main Campus,12109,Arrests,Public property,Illegal weapons possession,2
2014,Yale University,Main Campus,12336,Arrests,Public property,Illegal weapons possession,1
2015,Yale University,Main Campus,12385,Arrests,Public property,Illegal weapons possession,6
2016,Yale University,Main Campus,12458,Arrests,Public property,Illegal weapons possession,4
2017,Yale University,Main Campus,12974,Arrests,Public property,Illegal weapons possession,3
2001,Yale University,Main Campus,11136,Arrests,Public property,Drug law violations,4
2002,Yale University,Main Campus,11378,Arrests,Public property,Drug law violations,6
2003,Yale University,Main Campus,11471,Arrests,Public property,Drug law violations,0
2004,Yale University,Main Campus,11441,Arrests,Public property,Drug law violations,5
2005,Yale University,Main Campus,11483,Arrests,Public property,Drug law violations,2
2006,Yale University,Main Campus,11415,Arrests,Public property,Drug law violations,3
2007,Yale University,Main Campus,11454,Arrests,Public property,Drug law violations,13
2008,Yale University,Main Campus,10192,Arrests,Public property,Drug law violations,15
2009,Yale University,Main Campus,11593,Arrests,Public property,Drug law violations,12
2010,Yale University,Main Campus,11701,Arrests,Public property,Drug law violations,28
2011,Yale University,Main Campus,11875,Arrests,Public property,Drug law violations,35
2012,Yale University,Main Campus,11906,Arrests,Public property,Drug law violations,54
2013,Yale University,Main Campus,12109,Arrests,Public property,Drug law violations,31
2014,Yale University,Main Campus,12336,Arrests,Public property,Drug law violations,25
2015,Yale University,Main Campus,12385,Arrests,Public property,Drug law violations,32
2016,Yale University,Main Campus,12458,Arrests,Public property,Drug law violations,26
2017,Yale University,Main Campus,12974,Arrests,Public property,Drug law violations,16
2001,Yale University,Main Campus,11136,Arrests,Public property,Liquor law violations,0
2002,Yale University,Main Campus,11378,Arrests,Public property,Liquor law violations,0
2003,Yale University,Main Campus,11471,Arrests,Public property,Liquor law violations,0
2004,Yale University,Main Campus,11441,Arrests,Public property,Liquor law violations,3
2005,Yale University,Main Campus,11483,Arrests,Public property,Liquor law violations,0
2006,Yale University,Main Campus,11415,Arrests,Public property,Liquor law violations,3
2007,Yale University,Main Campus,11454,Arrests,Public property,Liquor law violations,21
2008,Yale University,Main Campus,10192,Arrests,Public property,Liquor law violations,39
2009,Yale University,Main Campus,11593,Arrests,Public property,Liquor law violations,52
2010,Yale University,Main Campus,11701,Arrests,Public property,Liquor law violations,54
2011,Yale University,Main Campus,11875,Arrests,Public property,Liquor law violations,21
2012,Yale University,Main Campus,11906,Arrests,Public property,Liquor law violations,52
2013,Yale University,Main Campus,12109,Arrests,Public property,Liquor law violations,20
2014,Yale University,Main Campus,12336,Arrests,Public property,Liquor law violations,8
2015,Yale University,Main Campus,12385,Arrests,Public property,Liquor law violations,4
2016,Yale University,Main Campus,12458,Arrests,Public property,Liquor law violations,4
2017,Yale University,Main Campus,12974,Arrests,Public property,Liquor law violations,1
2001,Yale University,Main Campus,11136,Criminal offenses,Noncampus,Murder/Non-negligent manslaughter,0
2002,Yale University,Main Campus,11378,Criminal offenses,Noncampus,Murder/Non-negligent manslaughter,0
2003,Yale University,Main Campus,11471,Criminal offenses,Noncampus,Murder/Non-negligent manslaughter,0
2004,Yale University,Main Campus,11441,Criminal offenses,Noncampus,Murder/Non-negligent manslaughter,0
2005,Yale University,Main Campus,11483,Criminal offenses,Noncampus,Murder/Non-negligent manslaughter,0
2006,Yale University,Main Campus,11415,Criminal offenses,Noncampus,Murder/Non-negligent manslaughter,0
2007,Yale University,Main Campus,11454,Criminal offenses,Noncampus,Murder/Non-negligent manslaughter,0
2008,Yale University,Main Campus,10192,Criminal offenses,Noncampus,Murder/Non-negligent manslaughter,0
2009,Yale University,Main Campus,11593,Criminal offenses,Noncampus,Murder/Non-negligent manslaughter,0
2010,Yale University,Main Campus,11701,Criminal offenses,Noncampus,Murder/Non-negligent manslaughter,0
2011,Yale University,Main Campus,11875,Criminal offenses,Noncampus,Murder/Non-negligent manslaughter,0
2012,Yale University,Main Campus,11906,Criminal offenses,Noncampus,Murder/Non-negligent manslaughter,0
2013,Yale University,Main Campus,12109,Criminal offenses,Noncampus,Murder/Non-negligent manslaughter,0
2014,Yale University,Main Campus,12336,Criminal offenses,Noncampus,Murder/Non-negligent manslaughter,0
2015,Yale University,Main Campus,12385,Criminal offenses,Noncampus,Murder/Non-negligent manslaughter,0
2016,Yale University,Main Campus,12458,Criminal offenses,Noncampus,Murder/Non-negligent manslaughter,0
2017,Yale University,Main Campus,12974,Criminal offenses,Noncampus,Murder/Non-negligent manslaughter,0
2001,Yale University,Main Campus,11136,Criminal offenses,Noncampus,Negligent manslaughter,0
2002,Yale University,Main Campus,11378,Criminal offenses,Noncampus,Negligent manslaughter,0
2003,Yale University,Main Campus,11471,Criminal offenses,Noncampus,Negligent manslaughter,0
2004,Yale University,Main Campus,11441,Criminal offenses,Noncampus,Negligent manslaughter,0
2005,Yale University,Main Campus,11483,Criminal offenses,Noncampus,Negligent manslaughter,0
2006,Yale University,Main Campus,11415,Criminal offenses,Noncampus,Negligent manslaughter,0
2007,Yale University,Main Campus,11454,Criminal offenses,Noncampus,Negligent manslaughter,0
2008,Yale University,Main Campus,10192,Criminal offenses,Noncampus,Negligent manslaughter,0
2009,Yale University,Main Campus,11593,Criminal offenses,Noncampus,Negligent manslaughter,0
2010,Yale University,Main Campus,11701,Criminal offenses,Noncampus,Negligent manslaughter,0
2011,Yale University,Main Campus,11875,Criminal offenses,Noncampus,Negligent manslaughter,0
2012,Yale University,Main Campus,11906,Criminal offenses,Noncampus,Negligent manslaughter,0
2013,Yale University,Main Campus,12109,Criminal offenses,Noncampus,Negligent manslaughter,0
2014,Yale University,Main Campus,12336,Criminal offenses,Noncampus,Negligent manslaughter,0
2015,Yale University,Main Campus,12385,Criminal offenses,Noncampus,Negligent manslaughter,0
2016,Yale University,Main Campus,12458,Criminal offenses,Noncampus,Negligent manslaughter,0
2017,Yale University,Main Campus,12974,Criminal offenses,Noncampus,Negligent manslaughter,0
2001,Yale University,Main Campus,11136,Criminal offenses,Noncampus,Sex offenses - Forcible,0
2002,Yale University,Main Campus,11378,Criminal offenses,Noncampus,Sex offenses - Forcible,0
2003,Yale University,Main Campus,11471,Criminal offenses,Noncampus,Sex offenses - Forcible,0
2004,Yale University,Main Campus,11441,Criminal offenses,Noncampus,Sex offenses - Forcible,0
2005,Yale University,Main Campus,11483,Criminal offenses,Noncampus,Sex offenses - Forcible,0
2006,Yale University,Main Campus,11415,Criminal offenses,Noncampus,Sex offenses - Forcible,0
2007,Yale University,Main Campus,11454,Criminal offenses,Noncampus,Sex offenses - Forcible,0
2008,Yale University,Main Campus,10192,Criminal offenses,Noncampus,Sex offenses - Forcible,0
2009,Yale University,Main Campus,11593,Criminal offenses,Noncampus,Sex offenses - Forcible,0
2010,Yale University,Main Campus,11701,Criminal offenses,Noncampus,Sex offenses - Forcible,0
2011,Yale University,Main Campus,11875,Criminal offenses,Noncampus,Sex offenses - Forcible,0
2012,Yale University,Main Campus,11906,Criminal offenses,Noncampus,Sex offenses - Forcible,0
2013,Yale University,Main Campus,12109,Criminal offenses,Noncampus,Sex offenses - Forcible,0
2014,Yale University,Main Campus,12336,Criminal offenses,Noncampus,Sex offenses - Forcible,0
2015,Yale University,Main Campus,12385,Criminal offenses,Noncampus,Sex offenses - Forcible,0
2016,Yale University,Main Campus,12458,Criminal offenses,Noncampus,Sex offenses - Forcible,0
2017,Yale University,Main Campus,12974,Criminal offenses,Noncampus,Sex offenses - Forcible,0
2001,Yale University,Main Campus,11136,Criminal offenses,Noncampus,Rape,0
2002,Yale University,Main Campus,11378,Criminal offenses,Noncampus,Rape,0
2003,Yale University,Main Campus,11471,Criminal offenses,Noncampus,Rape,0
2004,Yale University,Main Campus,11441,Criminal offenses,Noncampus,Rape,0
2005,Yale University,Main Campus,11483,Criminal offenses,Noncampus,Rape,0
2006,Yale University,Main Campus,11415,Criminal offenses,Noncampus,Rape,0
2007,Yale University,Main Campus,11454,Criminal offenses,Noncampus,Rape,0
2008,Yale University,Main Campus,10192,Criminal offenses,Noncampus,Rape,0
2009,Yale University,Main Campus,11593,Criminal offenses,Noncampus,Rape,0
2010,Yale University,Main Campus,11701,Criminal offenses,Noncampus,Rape,0
2011,Yale University,Main Campus,11875,Criminal offenses,Noncampus,Rape,0
2012,Yale University,Main Campus,11906,Criminal offenses,Noncampus,Rape,0
2013,Yale University,Main Campus,12109,Criminal offenses,Noncampus,Rape,0
2014,Yale University,Main Campus,12336,Criminal offenses,Noncampus,Rape,0
2015,Yale University,Main Campus,12385,Criminal offenses,Noncampus,Rape,1
2016,Yale University,Main Campus,12458,Criminal offenses,Noncampus,Rape,0
2017,Yale University,Main Campus,12974,Criminal offenses,Noncampus,Rape,2
2001,Yale University,Main Campus,11136,Criminal offenses,Noncampus,Fondling,0
2002,Yale University,Main Campus,11378,Criminal offenses,Noncampus,Fondling,0
2003,Yale University,Main Campus,11471,Criminal offenses,Noncampus,Fondling,0
2004,Yale University,Main Campus,11441,Criminal offenses,Noncampus,Fondling,0
2005,Yale University,Main Campus,11483,Criminal offenses,Noncampus,Fondling,0
2006,Yale University,Main Campus,11415,Criminal offenses,Noncampus,Fondling,0
2007,Yale University,Main Campus,11454,Criminal offenses,Noncampus,Fondling,0
2008,Yale University,Main Campus,10192,Criminal offenses,Noncampus,Fondling,0
2009,Yale University,Main Campus,11593,Criminal offenses,Noncampus,Fondling,0
2010,Yale University,Main Campus,11701,Criminal offenses,Noncampus,Fondling,0
2011,Yale University,Main Campus,11875,Criminal offenses,Noncampus,Fondling,0
2012,Yale University,Main Campus,11906,Criminal offenses,Noncampus,Fondling,0
2013,Yale University,Main Campus,12109,Criminal offenses,Noncampus,Fondling,0
2014,Yale University,Main Campus,12336,Criminal offenses,Noncampus,Fondling,0
2015,Yale University,Main Campus,12385,Criminal offenses,Noncampus,Fondling,0
2016,Yale University,Main Campus,12458,Criminal offenses,Noncampus,Fondling,0
2017,Yale University,Main Campus,12974,Criminal offenses,Noncampus,Fondling,2
2001,Yale University,Main Campus,11136,Criminal offenses,Noncampus,Sex offenses - Non-forcible,0
2002,Yale University,Main Campus,11378,Criminal offenses,Noncampus,Sex offenses - Non-forcible,0
2003,Yale University,Main Campus,11471,Criminal offenses,Noncampus,Sex offenses - Non-forcible,0
2004,Yale University,Main Campus,11441,Criminal offenses,Noncampus,Sex offenses - Non-forcible,0
2005,Yale University,Main Campus,11483,Criminal offenses,Noncampus,Sex offenses - Non-forcible,0
2006,Yale University,Main Campus,11415,Criminal offenses,Noncampus,Sex offenses - Non-forcible,0
2007,Yale University,Main Campus,11454,Criminal offenses,Noncampus,Sex offenses - Non-forcible,0
2008,Yale University,Main Campus,10192,Criminal offenses,Noncampus,Sex offenses - Non-forcible,0
2009,Yale University,Main Campus,11593,Criminal offenses,Noncampus,Sex offenses - Non-forcible,0
2010,Yale University,Main Campus,11701,Criminal offenses,Noncampus,Sex offenses - Non-forcible,0
2011,Yale University,Main Campus,11875,Criminal offenses,Noncampus,Sex offenses - Non-forcible,0
2012,Yale University,Main Campus,11906,Criminal offenses,Noncampus,Sex offenses - Non-forcible,0
2013,Yale University,Main Campus,12109,Criminal offenses,Noncampus,Sex offenses - Non-forcible,0
2014,Yale University,Main Campus,12336,Criminal offenses,Noncampus,Sex offenses - Non-forcible,0
2015,Yale University,Main Campus,12385,Criminal offenses,Noncampus,Sex offenses - Non-forcible,0
2016,Yale University,Main Campus,12458,Criminal offenses,Noncampus,Sex offenses - Non-forcible,0
2017,Yale University,Main Campus,12974,Criminal offenses,Noncampus,Sex offenses - Non-forcible,0
2001,Yale University,Main Campus,11136,Criminal offenses,Noncampus,Incest,0
2002,Yale University,Main Campus,11378,Criminal offenses,Noncampus,Incest,0
2003,Yale University,Main Campus,11471,Criminal offenses,Noncampus,Incest,0
2004,Yale University,Main Campus,11441,Criminal offenses,Noncampus,Incest,0
2005,Yale University,Main Campus,11483,Criminal offenses,Noncampus,Incest,0
2006,Yale University,Main Campus,11415,Criminal offenses,Noncampus,Incest,0
2007,Yale University,Main Campus,11454,Criminal offenses,Noncampus,Incest,0
2008,Yale University,Main Campus,10192,Criminal offenses,Noncampus,Incest,0
2009,Yale University,Main Campus,11593,Criminal offenses,Noncampus,Incest,0
2010,Yale University,Main Campus,11701,Criminal offenses,Noncampus,Incest,0
2011,Yale University,Main Campus,11875,Criminal offenses,Noncampus,Incest,0
2012,Yale University,Main Campus,11906,Criminal offenses,Noncampus,Incest,0
2013,Yale University,Main Campus,12109,Criminal offenses,Noncampus,Incest,0
2014,Yale University,Main Campus,12336,Criminal offenses,Noncampus,Incest,0
2015,Yale University,Main Campus,12385,Criminal offenses,Noncampus,Incest,0
2016,Yale University,Main Campus,12458,Criminal offenses,Noncampus,Incest,0
2017,Yale University,Main Campus,12974,Criminal offenses,Noncampus,Incest,0
2001,Yale University,Main Campus,11136,Criminal offenses,Noncampus,Statutory rape,0
2002,Yale University,Main Campus,11378,Criminal offenses,Noncampus,Statutory rape,0
2003,Yale University,Main Campus,11471,Criminal offenses,Noncampus,Statutory rape,0
2004,Yale University,Main Campus,11441,Criminal offenses,Noncampus,Statutory rape,0
2005,Yale University,Main Campus,11483,Criminal offenses,Noncampus,Statutory rape,0
2006,Yale University,Main Campus,11415,Criminal offenses,Noncampus,Statutory rape,0
2007,Yale University,Main Campus,11454,Criminal offenses,Noncampus,Statutory rape,0
2008,Yale University,Main Campus,10192,Criminal offenses,Noncampus,Statutory rape,0
2009,Yale University,Main Campus,11593,Criminal offenses,Noncampus,Statutory rape,0
2010,Yale University,Main Campus,11701,Criminal offenses,Noncampus,Statutory rape,0
2011,Yale University,Main Campus,11875,Criminal offenses,Noncampus,Statutory rape,0
2012,Yale University,Main Campus,11906,Criminal offenses,Noncampus,Statutory rape,0
2013,Yale University,Main Campus,12109,Criminal offenses,Noncampus,Statutory rape,0
2014,Yale University,Main Campus,12336,Criminal offenses,Noncampus,Statutory rape,0
2015,Yale University,Main Campus,12385,Criminal offenses,Noncampus,Statutory rape,0
2016,Yale University,Main Campus,12458,Criminal offenses,Noncampus,Statutory rape,0
2017,Yale University,Main Campus,12974,Criminal offenses,Noncampus,Statutory rape,0
2001,Yale University,Main Campus,11136,Criminal offenses,Noncampus,Robbery,2
2002,Yale University,Main Campus,11378,Criminal offenses,Noncampus,Robbery,0
2003,Yale University,Main Campus,11471,Criminal offenses,Noncampus,Robbery,0
2004,Yale University,Main Campus,11441,Criminal offenses,Noncampus,Robbery,0
2005,Yale University,Main Campus,11483,Criminal offenses,Noncampus,Robbery,3
2006,Yale University,Main Campus,11415,Criminal offenses,Noncampus,Robbery,0
2007,Yale University,Main Campus,11454,Criminal offenses,Noncampus,Robbery,0
2008,Yale University,Main Campus,10192,Criminal offenses,Noncampus,Robbery,0
2009,Yale University,Main Campus,11593,Criminal offenses,Noncampus,Robbery,0
2010,Yale University,Main Campus,11701,Criminal offenses,Noncampus,Robbery,0
