code:,building:,address:
HLH24,24 Hillhouse Avenue,24 Hillhouse Avenue
HLH27,27 Hillhouse Avenue,27 Hillhouse Avenue
HLH28,28 Hillhouse Avenue,28 Hillhouse Avenue
HLH31,31 Hillhouse Avenue,31 Hillhouse Avenue
HLH51,51 Hillhouse Avenue,51 Hillhouse Avenue
HLH55,55 Hillhouse,55 Hillhouse Avenue
HOPE,Hope,315 Cedar Street
ISM,Institute of Sacred Music,409 Prospect Street
JE,Jonathan Edwards College,68 High Street
JPL,John B Pierce Laboratory,290 Congress Avenue
JWG,J.W. Gibbs Laboratory,260 Whitney Avenue
K,Kirtland Hall,2 Hillhouse Avenue
KBT,Kline Biology Tower,219 Prospect Street
KGL,Kline Geology Laboratory,210 Whitney Avenue
KRN,Kroon Hall,195 Prospect Street
L,Lawrance Hall,358 College Street
LC,Linsly Chittenden Hall,63 High Street
LEIGH,Leigh Hall,435 College Street
LEPH,Laboratory of EPH,60 College Street
LFOP,Leitner Family Observatory & Planetarium,355 Prospect Street
LOM,Leet Oliver Memorial Hall,12 Hillhouse Avenue
LORIA,The Loria Center,190 York Street
LUCE,Luce Hall,34 Hillhouse Avenue
MARSH,Marsh Hall,360 Prospect Street
MC,Morse College,302 York Street
MEC,Malone Engineering Center,55 Prospect Street
ML,Mason Laboratory,9 Hillhouse Avenue
OAG,Old Art Gallery,56 High Street
OML,Osborn Memorial Laboratories,165 Prospect Street
PACE,PACE Center,340 Edwards Street
PC,Pierson College,261 Park Street
PH,Phelps Hall,344 College Street
PK205,205 Park Street,205 Park Street
PK217,217 Park Street,217 Park Street
PM,Peabody Museum,170 Whitney Avenue
PR124,124 Prospect Street,124 Prospect Street
PR135,135 Prospect Street,135 Prospect Street
PR140,140 Prospect Street,140 Prospect Street
PR230,230 Prospect Street,230 Prospect Street
PR301,301 Prospect Street,301 Prospect Street
PR310,310 Prospect Street,310 Prospect Street
PR77,77 Prospect Street,77 Prospect Street
PRP8,8 Prospect Place,8 Prospect Place
PWG,Payne Whitney Gymnasium,70 Tower Pkwy
RDH,Rudolph Hall,180 York Street
RKZ,Rosenkranz Hall,115 Prospect Street
S,Sage Hall,205 Prospect Street
SA10,10 Sachem Street,10 Sachem Street
SA80,80 Sachem Street,80 Sachem Street
SCL,Sterling Chemistry Laboratory,225 Prospect Street
SDQ,Sterling Divinity Quadrangle,409 Prospect Street
SHM,Sterling Hall of Medicine,333 Cedar Street
SLB,Sterling Law Buildings,127 Wall Street
SLIFKA,Slifka Center,80 Wall Street
SM,Sprague Memorial Hall,Sprague Memorial Hall
SML,Sterling Memorial Library,120 High Street
SPL,Sloane Physics Laboratory,217 Prospect Street
SSS,Sheffield Sterling Strathcona,1 Prospect Street
ST,Street Hall,1071 Chapel Street
STOECK,Stoeckel Hall,96 Wall Street
SW,Swing Dorm,100 Tower Parkway
SY,Saybrook College,242 Elm Street
TAC,The Anlyan Center,300 Cedar Street
TC,Trumbull College,241 Elm Street
TD,Timothy Dwight College,345 Temple Street
TM320,320 Temple Street,320 Temple Street
TM370,370 Temple Street,370 Temple Street
TM405,405 Temple Street,405 Temple Street
TM432,432 Temple Street,432 Temple Street
TM434,434 Temple Street,434 Temple Street
UT,University Theater,222 York Street
WALL81,81 Wall Street,81 Wall Street
WH121,121 Whitney Avenue,121 Whitney Avenue
WH158,158 Whitney Avenue,158 Whitney Avenue
WH175,175 Whitney Avenue,175 Whitney Avenue
WH221,221 Whitney Avenue,221 Whitney Avenue
WHC,Whitney Humanities Center,53 Wall Street
WL53,53 Wall Street,53 Wall Street
WLH,William L. Harkness Hall,100 Wall Street
WNSL,Wright Nuclear Stucture Lab,272 Whitney Avenue
WOOL,Woolsey Hall,College and Grove Streets
WWW,William Wirt Winchester Bldg,25 York Street
YCMI,Yale Ctr Medical Informatics,40 Temple Street
YK149,149 York Street,149 York Street
YK204,204 York Street,204 York Street
YK212,212 York Street,212 York Street
YK220,220 York Street,220 York Street
YK222,222 York Street,222 York Street
YK254,254 York Street,254 York Street
YPSC,Yale Psyc Services Clinic,405 Temple Street
YRT,Yale Repertory Theatre,1120 Chapel Street
YUAG,Yale University Art Gallery,1111 Chapel Street
