code,subject,number,designator,name,rating,workload,Hu,So,Sc,WR,L,QR,skills,areas,num_students
AFAM 253,AFAM,253,NA,"Jazz in Transition, 1960-2000",3.66,2.99,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Hu,28
AFAM 259,AFAM,259,NA,Education and Empire,4.9,3.5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Hu,24
AFAM 275,AFAM,275,NA,Afterlives of Slavery in U.S.,4.05,3.24,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Hu,13
AFAM 287,AFAM,287,NA,Postcolonial Theory & Lit TR,3.83,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Hu,16
AFAM 305,AFAM,305,NA,African American Autobiography,4.64,3.76,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Hu,17
AFAM 313,AFAM,313,NA,Embodying Story,4.58,2.45,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Hu,18
AFAM 315,AFAM,315,NA,Black Feminist Theory,4.92,2.92,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,So,23
AFAM 348,AFAM,348,NA,James Baldwin After 1964,4.63,3.73,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Hu,17
AFAM 349,AFAM,349,NA,CivilRights &Women'sLiberation,4.63,3.51,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Hu,13
AFAM 352,AFAM,352,NA,Caribbean Diasporic Literature,4.8,3.42,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Hu,2
AFAM 353,AFAM,353,NA,Black British Art & Culture,4.06,2.81,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Hu,10
AFAM 373,AFAM,373,NA,White America,3.75,3.02,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Hu,14
AFAM 378,AFAM,378,NA,Anthropology of Youth,4.86,3.43,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"Hu, So",9
AFAM 385,AFAM,385,NA,"Plantation,Prison,Ghetto inUS",3.69,3.34,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Hu,10
AFAM 390,AFAM,390,NA,EthngrphyAfrAmerCommunity,3.36,2.3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,So,5
AFAM 399,AFAM,399,NA,Race and Capitalism,3.7199999999999998,3.41,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,So,15
AFAM 401,AFAM,401,NA,Intro to Documentary Studies,4.69,3.32,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Hu,17
AFAM 406,AFAM,406,NA,Autobiography in America,4.03,2.52,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,WR,Hu,18
AFAM 410,AFAM,410,NA,InterdiscApproachesAfrAmerStud,3.54,3.27,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,WR,"Hu, So",11
AFAM 426,AFAM,426,NA,Toni Morrison Black Life,4.46,4.17,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Hu,17
AFAM 480,AFAM,480,NA,SeniorColloquium:AfrAmerStud,4.08,2.93,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,11
AFAM 491,AFAM,491,NA,The Senior Essay,3.8200000000000003,4.22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,1
AFST 001,AFST,1,NA,Egypt and Northeast Africa,3.73,3,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,WR,Hu,6
AFST 128,AFST,128,NA,"Magic&Ritual,Egypt & Near East",3.63,2.88,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Hu,13
AFST 135,AFST,135,NA,Media and Conflict,3.67,3.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,15
AFST 160,AFST,160,NA,Africa in the World,4.67,3.11,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,So,18
AFST 180,AFST,180,NA,Nigeria and Its Diaspora,3.83,2.65,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,So,23
AFST 200,AFST,200,NA,Social Dimensions of Evolution,4.5,2.17,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,So,7
AFST 234,AFST,234,NA,"Markets,Socialism,Development",4.61,2.48,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,So,18
AFST 250,AFST,250,NA,AfricanReconNarratives,4.83,3.33,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Hu,11
AFST 295,AFST,295,NA,Postcolonial Ecologies,3.75,3.38,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,WR,Hu,10
AFST 305,AFST,305,NA,SocialEnterpriselnDvlpngEcon,4.32,2.79,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,So,15
AFST 306,AFST,306,NA,SoclEntrprisInDvlpngEconmiesII,4.31,2.76,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,14
AFST 327,AFST,327,NA,Human-Wildlife Conflict Africa,4.38,2.88,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,13
AFST 333,AFST,333,NA,AfricanEncountrsWithColonialsm,4.48,3.51,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Hu,70
AFST 335,AFST,335,NA,History of South Africa,4.62,3.66,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Hu,87
AFST 340,AFST,340,NA,Africa in Era of Slave Trade,3.84,2.62,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Hu,19
AFST 378,AFST,378,NA,USForeignAsstnceSub-Saharan,4,2.23,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,So,24
AFST 381,AFST,381,NA,Government& Politics in Africa,3.61,2.71,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,So,38
AFST 382,AFST,382,NA,Child Health and Dev in Africa,3.94,3.16,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,So,5
AFST 400,AFST,400,NA,Democracy&PublicPolicyinAfrica,3.74,3.15,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,So,13
AFST 406,AFST,406,NA,Sexual Violence and War,4.7,4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,So,6
AFST 435,AFST,435,NA,W.AfricanDance:Tradtnl-Contemp,4.59,1.6800000000000002,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Hu,18
AKKD 110,AKKD,110,NA,Elementary Akkadian I,4.5,4.5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,L,NA,5
AMST 007,AMST,7,NA,Furniture and American Life,4.82,2.38,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,WR,Hu,17
AMST 012,AMST,12,NA,Politcs&Society inUS afterWWII,3.65,4.14,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Hu,15
AMST 028,AMST,28,NA,Book Collecting in America,4.75,3,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,WR,Hu,6
AMST 116,AMST,116,NA,Build an American Religion,4.49,2.89,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Hu,47
AMST 141,AMST,141,NA,The American West,4.19,3.16,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Hu,14
AMST 188,AMST,188,NA,ColonialPeriodAmericanHistory,3.9,3.06,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Hu,26
AMST 197,AMST,197,NA,AmericanArchitecture&Urbanism,4.01,2.45,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Hu,203
AMST 206,AMST,206,NA,Intro Critical Refugee Studies,4.51,3.37,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,So,17
AMST 209,AMST,209,NA,"Race, Politics, and Law",4.71,3.33,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,So,171
AMST 228,AMST,228,NA,Origins of U.S. Global Power,4.05,2.49,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Hu,48
AMST 236,AMST,236,NA,American Energy History,3.64,3.04,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,WR,Hu,58
AMST 257,AMST,257,NA,Modern Apocalyptic Narratives,3.45,3.41,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Hu,16
AMST 258,AMST,258,NA,WildernessNorthAmerImagination,4.25,3.2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Hu,14
AMST 312,AMST,312,NA,The Postcolonial City,4.15,3.19,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Hu,16
AMST 325,AMST,325,NA,The Essay Film,3.25,3.25,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Hu,1
AMST 330,AMST,330,NA,Dystopic & Utopian Fictions,3.7199999999999998,3.9699999999999998,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Hu,2
AMST 332,AMST,332,NA,Humbugs and Visionaries,4.59,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Hu,18
AMST 335,AMST,335,NA,Indigenous Geographies,3.7199999999999998,2.8,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"Hu, So",19
AMST 336,AMST,336,NA,American Fascism,4.27,3.47,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,11
AMST 340,AMST,340,NA,The History of Miami,4.69,2.94,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Hu,18
AMST 344,AMST,344,NA,The Nonhuman in Lit since 1800,4.19,3.43,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,WR,Hu,11
AMST 345,AMST,345,NA,Latinx Ethnography,4.23,4.01,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,So,15
AMST 346,AMST,346,NA,Poetry and Objects,4.08,3.13,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,WR,Hu,12
AMST 349,AMST,349,NA,Movement Research,4.3,2.73,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,12
AMST 350,AMST,350,NA,Political Landscapes Tourism,4.18,2.71,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Hu,13
AMST 357,AMST,357,NA,The Times of Bob Dylan,4,3.33,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Hu,13
AMST 369,AMST,369,NA,Marxism & Social Movts: 20th C,4.29,3.27,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Hu,12
AMST 370,AMST,370,NA,The History of Dance,4.29,2.96,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,WR,Hu,9
AMST 374,AMST,374,NA,Cultures of Militarism,4.44,3.7800000000000002,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,WR,Hu,9
AMST 403,AMST,403,NA,Intro to Public Humanities,4.24,3.15,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Hu,14
AMST 406,AMST,406,NA,The Spectacle of Disability,3.86,3.12,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,WR,Hu,3
AMST 410,AMST,410,NA,AsianAmerWomen&Gender1830-Pres,4.77,4.18,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,WR,Hu,17
AMST 422,AMST,422,NA,Writing Tribal Histories,4.29,3.14,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,WR,Hu,16
AMST 435,AMST,435,NA,Inequality InAmerica,4.49,3.79,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,So,13
AMST 439,AMST,439,NA,Fruits of Empire,4.09,3.33,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"Hu, So",26
AMST 441,AMST,441,NA,Indians&theSpanishBorderlands,3.87,3.09,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,WR,Hu,17
AMST 451,AMST,451,NA,"Religion, War, and America",4.45,3.47,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Hu,14
AMST 452,AMST,452,NA,MovementMemorySettlerColonial,3.58,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Hu,17
AMST 459,AMST,459,NA,Multispecies Worlds,4.33,3.75,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,So,14
AMST 462,AMST,462,NA,Privilege in the Americas,4.42,3.48,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,So,12
AMST 463,AMST,463,NA,Documentary Film Workshop,3.6,3.23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,10
AMST 464,AMST,464,NA,Documentary Film Workshop,3.5700000000000003,4.19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,14
AMST 466,AMST,466,NA,Contemporary Historical Novels,4.4,3.7,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Hu,4
AMST 472,AMST,472,NA,IndividReading&ResearchJrs&Srs,4.5,3.75,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,2
AMST 479,AMST,479,NA,Migrant & Refugees in Lit.,4.58,3.54,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Hu,17
AMST 486,AMST,486,NA,Asian American Race & Empire,4.22,3.44,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,Hu,23
AMST 491,AMST,491,NA,Senior Project,3.81,3.7199999999999998,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,3
AMST 493,AMST,493,NA,SeniorProject: IntensiveMajor,3.7199999999999998,3.19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,9
AMST 494,AMST,494,NA,SeniorProject: IntensiveMajor,4.25,4.15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,15
AMTH 160,AMTH,160,NA,The Structure of Networks,3.22,1.9100000000000001,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,QR,NA,504
AMTH 222,AMTH,222,NA,LinearAlgebraWithApplications,2.94,2.98,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,QR,NA,67
AMTH 244,AMTH,244,NA,Discrete Mathematics,3.56,3.51,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,QR,NA,80
AMTH 247,AMTH,247,NA,Partial Differential Equations,3.11,2.95,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,QR,NA,13
AMTH 262,AMTH,262,NA,Comp Tools for Data Science,3.02,3.34,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,QR,NA,62
AMTH 342,AMTH,342,NA,Linear Systems,3.11,4.22,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,QR,NA,4
AMTH 361,AMTH,361,NA,Data Analysis,3.12,2.89,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,QR,NA,65
AMTH 364,AMTH,364,NA,Information Theory,3.5700000000000003,3.55,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,QR,NA,35
AMTH 420,AMTH,420,NA,Mathematics of Data Science,4.86,3,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,QR,Sc,9
AMTH 428,AMTH,428,NA,Science of Complex Systems,3.76,3.04,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,QR,Sc,25
AMTH 437,AMTH,437,NA,Optimization Techniques,3.6,3.64,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,QR,NA,53
AMTH 447,AMTH,447,NA,Partial Differential Equations,5,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,5
AMTH 490,AMTH,490,NA,Senior Seminar and Project,3.2,3.67,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,1
AMTH 491,AMTH,491,NA,Senior Project,4.1,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,4
ANTH 011,ANTH,11,NA,Reproductive Technologies,4.72,3.17,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,So,13
ANTH 040,ANTH,40,NA,Evolution of Human Uniqueness,3.7199999999999998,2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,So,11
ANTH 061,ANTH,61,NA,Understanding Human Origins,4.05,2.39,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,So,10
ANTH 110,ANTH,110,NA,Intro to Cultural Anthropology,3.81,2.85,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,So,25
ANTH 116,ANTH,116,NA,Intro Biological Anthropology,3.21,2.46,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,"Sc, So",53
ANTH 129,ANTH,129,NA,Society and Politics of ME,4.75,3.5,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,So,5
ANTH 171,ANTH,171,NA,GreatCivilizationsAncientWorld,3.6,2.33,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,So,144
ANTH 172,ANTH,172,NA,GreatHoaxes&FantasiesInArchlgy,4.05,2.13,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,So,32
ANTH 205,ANTH,205,NA,"Language, Culture, Identity",3.47,2.73,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,So,19
ANTH 215,ANTH,215,NA,Archaeology of China,3.99,2.83,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,So,9
ANTH 236,ANTH,236,NA,Obesity: Biosocial Approaches,4,2.5,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,So,19
ANTH 242,ANTH,242,NA,HumanEvolutionaryBio &LifeHist,3.67,2.58,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,"Sc, So",31
ANTH 244,ANTH,244,NA,Social Change Contemp SE Asia,4.42,3.16,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,So,3
ANTH 258,ANTH,258,NA,Cold War in the First Person,4.67,3.33,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,So,5
ANTH 264,ANTH,264,NA,Aztec Archaeology&Ethnohistory,3.61,2.45,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,So,16
ANTH 269,ANTH,269,NA,Apes and Human Evolution,3.73,2.36,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,So,14
ANTH 276,ANTH,276,NA,South Asian Social Worlds,4.69,3.69,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,WR,So,4
ANTH 300,ANTH,300,NA,Primate Behavior and Ecology,3.51,2.47,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,"Sc, So",75
ANTH 309,ANTH,309,NA,Language and Culture,4.37,2.71,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,So,13
ANTH 316L,ANTH,316,L,IntroArchaeological LabScience,3.7800000000000002,2.38,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,13
ANTH 322,ANTH,322,NA,Environ Justice in South Asia,4.3,3.43,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,So,11
ANTH 338,ANTH,338,NA,Gender & Politics After Social,4.8,2.5,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,So,2
ANTH 339,ANTH,339,NA,Urban Ethnography of Asia,4.16,3.89,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,So,18
ANTH 342,ANTH,342,NA,Cultures & Markets in Asia,3.73,2.74,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,So,14
ANTH 346,ANTH,346,NA,Anthro ApproachesTo Capitalism,4.42,3.11,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,So,14
ANTH 362,ANTH,362,NA,Unity&Diversity:ChineseCulture,4.25,3.17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,9
ANTH 367,ANTH,367,NA,Technology and Culture,4.42,3.23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,14
ANTH 381,ANTH,381,NA,Sex and Global Politics,3.96,3.35,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,So,12
ANTH 385,ANTH,385,NA,Archaeological Ceramics,3.87,2.87,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,So,11
ANTH 386,ANTH,386,NA,Humanitarian Interventions,4.31,3.03,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,WR,So,19
ANTH 388,ANTH,388,NA,Politics of Culture in SE Asia,4.75,3.31,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,So,5
ANTH 399,ANTH,399,NA,Anthropology of Outer Space,4.19,2.55,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,So,28
ANTH 406,ANTH,406,NA,Rivers: Nature and Politics,3.9699999999999998,3.23,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,So,11
ANTH 409,ANTH,409,NA,Climate&Society Past toPresent,4.15,3.23,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,So,16
ANTH 413,ANTH,413,NA,"Language, Culture, & Ideology",4.5,3.17,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,So,5
ANTH 414,ANTH,414,NA,"Hubs, Mobilities &World Cities",3.55,2.7199999999999998,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,So,15
ANTH 417,ANTH,417,NA,Maya Hieroglyphic Writing,4,3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,So,10
ANTH 438,ANTH,438,NA,"Culture, Power, Oil",4.53,3.55,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,So,18
ANTH 448,ANTH,448,NA,Medical Anthro Intersections,4.8,3.9,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,So,13
ANTH 450,ANTH,450,NA,Analysis of Lithic Technology,4.25,3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,So,7
ANTH 453,ANTH,453,NA,HealthDisparities&HealthEquity,4.35,3.03,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,WR,So,19
ANTH 464,ANTH,464,NA,Human Osteology,4.7,2.39,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,"Sc, So",24
ANTH 471,ANTH,471,NA,Readings in Anthropology,4.09,3.31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,6
ANTH 473,ANTH,473,NA,ClimateChnge&Societal Collapse,3.85,2.42,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"Hu, So",12
ANTH 491,ANTH,491,NA,The Senior Essay,4.01,4.23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,2
ANTH 492,ANTH,492,NA,Imaging Ancient Worlds,2,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,5
APHY 050,APHY,50,NA,Scie of Modern Tech&PublicPlcy,3.26,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,Sc,10
APHY 100,APHY,100,NA,Energy Technology and Society,2.58,2.81,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,QR,Sc,24
APHY 110,APHY,110,NA,The Technological World,3.44,2.66,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,QR,Sc,32
APHY 151,APHY,151,NA,MultivariblCalculsForEngineers,3.36,3.7199999999999998,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,QR,NA,54
APHY 194,APHY,194,NA,Ordinary&PrtialDiffrntlEquatns,3.07,3.95,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,QR,NA,70
APHY 293,APHY,293,NA,Einstein and Modern Physics,4.8,2.8,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,QR,Sc,5
APHY 321,APHY,321,NA,SemicondSiliconDevices&Tchnlgy,3.2,4.2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,QR,Sc,10
APHY 322,APHY,322,NA,ElectromagneticWaves&Devices,3.31,3.2800000000000002,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,QR,Sc,8
